Month,Hotel
2004-01,90
2004-02,90
2004-03,89
2004-04,88
2004-05,91
2004-06,95
2004-07,100
2004-08,95
2004-09,84
2004-10,80
2004-11,73
2004-12,72
2005-01,87
2005-02,88
2005-03,89
2005-04,87
2005-05,88
2005-06,98
2005-07,97
2005-08,90
2005-09,78
2005-10,74
2005-11,72
2005-12,64
2006-01,79
2006-02,80
2006-03,82
2006-04,79
2006-05,82
2006-06,88
2006-07,88
2006-08,83
2006-09,73
2006-10,70
2006-11,68
2006-12,63
2007-01,75
2007-02,77
2007-03,80
2007-04,76
2007-05,80
2007-06,84
2007-07,88
2007-08,77
2007-09,70
2007-10,68
2007-11,62
2007-12,59
2008-01,71
2008-02,72
2008-03,74
2008-04,71
2008-05,70
2008-06,74
2008-07,76
2008-08,70
2008-09,63
2008-10,58
2008-11,53
2008-12,53
2009-01,64
2009-02,64
2009-03,65
2009-04,63
2009-05,66
2009-06,71
2009-07,76
2009-08,69
2009-09,62
2009-10,59
2009-11,56
2009-12,56
2010-01,63
2010-02,62
2010-03,66
2010-04,61
2010-05,62
2010-06,69
2010-07,69
2010-08,65
2010-09,56
2010-10,54
2010-11,49
2010-12,49
2011-01,54
2011-02,55
2011-03,56
2011-04,54
2011-05,59
2011-06,62
2011-07,64
2011-08,57
2011-09,50
2011-10,48
2011-11,43
2011-12,43
2012-01,49
2012-02,51
2012-03,51
2012-04,50
2012-05,54
2012-06,56
2012-07,58
2012-08,53
2012-09,48
2012-10,45
2012-11,40
2012-12,39
2013-01,47
2013-02,49
2013-03,51
2013-04,49
2013-05,50
2013-06,55
2013-07,56
2013-08,50
2013-09,44
2013-10,43
2013-11,41
2013-12,40
2014-01,46
2014-02,49
2014-03,53
2014-04,50
2014-05,51
2014-06,54
2014-07,58
2014-08,53
2014-09,44
2014-10,43
2014-11,38
2014-12,40
2015-01,45
2015-02,48
2015-03,50
2015-04,50
2015-05,50
2015-06,54
2015-07,58
2015-08,54
2015-09,48
2015-10,51
2015-11,42
2015-12,43
2016-01,52
2016-02,51
2016-03,54
2016-04,50
2016-05,53
2016-06,57
2016-07,61
2016-08,52
2016-09,46
2016-10,49
2016-11,44
2016-12,45
2017-01,49
2017-02,50
2017-03,53
2017-04,51
2017-05,54
2017-06,59
2017-07,62
2017-08,55
2017-09,50
2017-10,52
2017-11,43
2017-12,45
2018-01,50
2018-02,50
2018-03,53
2018-04,50
2018-05,51
2018-06,61
2018-07,65
2018-08,54
2018-09,49
2018-10,48
2018-11,43
2018-12,43
2019-01,49
2019-02,51
2019-03,55
2019-04,51
2019-05,58
2019-06,60
2019-07,60
2019-08,56
2019-09,54
2019-10,52
2019-11,49
2019-12,55
2020-01,64
2020-02,62
2020-03,49
2020-04,30
2020-05,38
2020-06,48
2020-07,56
2020-08,53
2020-09,46
2020-10,50
2020-11,37
2020-12,37
